,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
138,Video_games_sales139,World of Warcraft,PC,Activision,2004-01-01,6.31,Role-Playing,93.0,7.3,,,T,
139,Video_games_sales140,Street Fighter II: The World Warrior,SNES,Capcom,1992-01-01,6.3,Fighting,,,,,,
140,Video_games_sales141,Driver,PS,GT Interactive,1999-01-01,6.27,Action,87.0,8.0,,,T,
141,Video_games_sales142,Gears of War 3,X360,Microsoft Game Studios,2011-01-01,6.21,Shooter,91.0,7.8,,,M,
142,Video_games_sales143,Kinect Sports,X360,Microsoft Game Studios,2010-01-01,6.19,Sports,73.0,7.4,,,E10+,
143,Video_games_sales144,Gears of War,X360,Microsoft Game Studios,2006-01-01,6.09,Shooter,94.0,8.3,,,M,
144,Video_games_sales145,FIFA 15,PS4,Electronic Arts,2014-01-01,6.08,Sports,82.0,5.7,,,E,
145,Video_games_sales146,Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,2001-01-01,6.05,Action,96.0,8.7,,,M,
146,Video_games_sales147,Sonic the Hedgehog 2,GEN,Sega,1992-01-01,6.03,Platform,,,,,,
147,Video_games_sales148,Metal Gear Solid,PS,Konami Digital Entertainment,1998-01-01,6.03,Action,94.0,9.4,,,M,
148,Video_games_sales149,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami Digital Entertainment,2008-01-01,5.99,Action,94.0,8.7,,,M,
149,Video_games_sales150,Final Fantasy XII,PS2,Square Enix,2006-01-01,5.95,Role-Playing,92.0,7.7,,,T,
150,Video_games_sales151,The Last of Us,PS3,Sony Computer Entertainment Europe,2013-01-01,5.89,Action,95.0,9.1,,,M,
151,Video_games_sales152,LittleBigPlanet,PS3,Sony Computer Entertainment,2008-01-01,5.82,Platform,95.0,6.8,,,E,
152,Video_games_sales153,Resident Evil 2,PS,Virgin Interactive,1998-01-01,5.82,Action,89.0,9.2,,,M,
153,Video_games_sales154,Call of Duty: Infinite Warfare,PS4,Activision,2016-01-01,5.8,Shooter,77.0,3.5,,,M,
154,Video_games_sales155,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,2009-01-01,5.78,Role-Playing,87.0,8.8,,,E10+,
155,Video_games_sales156,Tekken 2,PS,Sony Computer Entertainment,1996-01-01,5.74,Fighting,89.0,8.9,,,T,
156,Video_games_sales157,Grand Theft Auto V,XOne,Take-Two Interactive,2014-01-01,5.74,Action,97.0,7.9,,,M,
157,Video_games_sales158,Destiny,PS4,Activision,2014-01-01,5.66,Shooter,76.0,6.1,,,T,
158,Video_games_sales159,LEGO Star Wars: The Complete Saga,Wii,LucasArts,2007-01-01,5.64,Action,80.0,8.9,,,E10+,
159,Video_games_sales160,Cooking Mama,DS,505 Games,2006-01-01,5.64,Simulation,67.0,7.2,,,E,
160,Video_games_sales161,Tetris,NES,Nintendo,1988-01-01,5.58,Puzzle,,,,,,
161,Video_games_sales162,Super Smash Bros.,N64,Nintendo,1999-01-01,5.55,Fighting,,,,,,
162,Video_games_sales163,Assassins Creed II,PS3,Ubisoft,2009-01-01,5.55,Action,91.0,8.6,,,M,
163,Video_games_sales164,Assassins Creed,X360,Ubisoft,2007-01-01,5.54,Adventure,81.0,7.7,,,M,
164,Video_games_sales165,Forza Motorsport 3,X360,Microsoft Game Studios,2009-01-01,5.49,Racing,92.0,8.0,,,E,
165,Video_games_sales166,Super Mario Advance,GBA,Nintendo,2001-01-01,5.49,Platform,84.0,7.8,,,E,
166,Video_games_sales167,Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,2011-01-01,5.48,Action,96.0,8.6,,,T,
167,Video_games_sales168,Monster Hunter Freedom Unite,PSP,Capcom,2008-01-01,5.48,Role-Playing,81.0,8.7,,,T,
168,Video_games_sales169,Mario Kart: Super Circuit,GBA,Nintendo,2001-01-01,5.47,Racing,93.0,8.3,,,E,
169,Video_games_sales170,Super Mario World,GBA,Nintendo,2001-01-01,5.46,Platform,,,,,,
170,Video_games_sales171,Pokemon Stadium,N64,Nintendo,1999-01-01,5.45,Strategy,,,,,,
171,Video_games_sales172,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,2001-01-01,5.42,Platform,66.0,7.1,,,E,
172,Video_games_sales173,Minecraft,PS3,Sony Computer Entertainment,2014-01-01,5.41,Misc,,,,,,
173,Video_games_sales174,Call of Duty: World at War,PS3,Activision,2008-01-01,5.4,Shooter,85.0,7.6,,,M,
174,Video_games_sales175,Tomodachi Life,3DS,Nintendo,2013-01-01,5.39,Simulation,71.0,7.6,,,E,
175,Video_games_sales176,Dr. Mario,G,Nintendo,1989-01-01,5.34,Puzzle,,,,,,
176,Video_games_sales177,Final Fantasy XIII,PS3,Square Enix,2009-01-01,5.34,Role-Playing,83.0,7.2,,,T,
177,Video_games_sales178,Pokemon Pinball,G,Nintendo,1999-01-01,5.31,Misc,,,,,,
178,Video_games_sales179,Final Fantasy IX,PS,SquareSoft,2000-01-01,5.3,Role-Playing,94.0,8.9,,,T,
179,Video_games_sales180,Battlefield 1,PS4,Electronic Arts,2016-01-01,5.3,Shooter,89.0,8.4,,,M,
180,Video_games_sales181,New Super Mario Bros. U,WiiU,Nintendo,2012-01-01,5.29,Platform,84.0,8.1,,,E,
181,Video_games_sales182,Assassins Creed III,X360,Ubisoft,2012-01-01,5.29,Action,84.0,6.8,,,M,
182,Video_games_sales183,Final Fantasy X-2,PS2,Electronic Arts,2003-01-01,5.29,Role-Playing,85.0,6.6,,,T,
183,Video_games_sales184,Call of Duty: Advanced Warfare,XOne,Activision,2014-01-01,5.28,Shooter,81.0,5.4,,,M,
184,Video_games_sales185,Donkey Kong 64,N64,Nintendo,1999-01-01,5.27,Platform,,,,,,
185,Video_games_sales186,Assassins Creed II,X360,Ubisoft,2009-01-01,5.27,Action,90.0,8.8,,,M,
186,Video_games_sales187,Tomb Raider II,PS,Eidos Interactive,1997-01-01,5.24,Action,85.0,,,,T,
187,Video_games_sales188,Madden NFL 2004,PS2,Electronic Arts,2003-01-01,5.23,Sports,94.0,8.5,,,E,
188,Video_games_sales189,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,2004-01-01,5.21,Role-Playing,89.0,8.8,,,T,
189,Video_games_sales190,Super Mario Bros. 3,GBA,Nintendo,2003-01-01,5.2,Platform,,,,,,
190,Video_games_sales191,Professor Layton and the Curious Village,DS,Nintendo,2007-01-01,5.19,Puzzle,85.0,8.6,,,E,
191,Video_games_sales192,Super Mario Land 3: Wario Land,G,Nintendo,1994-01-01,5.19,Platform,,,,,,
192,Video_games_sales193,FIFA Soccer 13,X360,Electronic Arts,2012-01-01,5.17,Action,90.0,6.1,,,E,
193,Video_games_sales194,Diablo III,PC,Activision,2012-01-01,5.17,Role-Playing,88.0,4.0,,,M,
194,Video_games_sales195,Donkey Kong Country 2: Diddys Kong Quest,SNES,Nintendo,1995-01-01,5.15,Platform,,,,,,
195,Video_games_sales196,Medal of Honor: Rising Sun,PS2,Electronic Arts,2003-01-01,5.13,Shooter,68.0,7.6,,,T,
196,Video_games_sales197,Kirbys Dream Land,G,Nintendo,1992-01-01,5.13,Platform,,,,,,
197,Video_games_sales198,Microsoft Flight Simulator,PC,Microsoft Game Studios,1996-01-01,5.12,Simulation,,,,,,
198,Video_games_sales199,Guitar Hero II,PS2,RedOctane,2006-01-01,5.12,Misc,92.0,8.5,,,T,
199,Video_games_sales200,Fable III,X360,Microsoft Game Studios,2010-01-01,5.1,Role-Playing,80.0,6.5,,,M,
200,Video_games_sales201,Mario & Sonic at the Olympic Games,DS,Sega,2008-01-01,5.09,Sports,,,,,,
201,Video_games_sales202,Resident Evil 5,PS3,Capcom,2009-01-01,5.09,Action,84.0,7.5,,,M,
202,Video_games_sales203,The Legend of Zelda: Phantom Hourglass,DS,Nintendo,2007-01-01,5.08,Action,90.0,8.0,,,E,
203,Video_games_sales204,FIFA Soccer 11,PS3,Electronic Arts,2010-01-01,5.07,Sports,89.0,8.0,,,E,
204,Video_games_sales205,Super Mario Bros.,G,Nintendo,1999-01-01,5.07,Platform,,,,,,
205,Video_games_sales206,The Last of Us,PS4,Sony Computer Entertainment,2014-01-01,5.06,Action,,,,,,
206,Video_games_sales207,Resident Evil,PS,Virgin Interactive,1996-01-01,5.05,Action,91.0,9.0,,,M,
207,Video_games_sales208,Grand Theft Auto: Vice City Stories,PSP,Take-Two Interactive,2006-01-01,5.03,Action,86.0,8.0,,,M,
208,Video_games_sales209,Tony Hawks Pro Skater,PS,Activision,1999-01-01,5.02,Sports,92.0,9.2,,,T,
209,Video_games_sales210,Warzone 2100,PS,Eidos Interactive,1999-01-01,5.01,Strategy,,,,,,
210,Video_games_sales211,Spyro the Dragon,PS,Sony Computer Entertainment,1998-01-01,5.0,Platform,,,,,,
