id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
Windowgames_3294;Supreme Warrior;PC;Digital Pictures;1994-01-01;;Fighting;;;Digital Pictures;;;;supreme warrior
Windowgames_3295;Surfs Up;PC;Ubisoft;2007-01-01;;Simulator,Strategy;;;Ubisoft Quebec;;;;surfs up
Windowgames_3296;Survival Crisis Z;PC;Ska Studios;2004-01-01;;Role-playing (RPG);;;Ska Studios;;;;survival crisis z
Windowgames_3297;Survival Project;PC;Happy Digi,HanbitSoft,et al.;2003-01-01;;Simulator,Strategy;;;IO Entertainment;;;;survival project
Windowgames_3298;Survival: The Ultimate Challenge;PC;Activision Value;2001-01-01;;Simulator,Strategy;;;Techland Software;;;;survival the ultimate challenge
Windowgames_3299;Suzuki Alstare Extreme Racing;PC;Ubisoft;1999-01-01;;Racing,Sport;;;Criterion Games;;;;suzuki alstare extreme racing
Windowgames_3300;Sven Co-op;PC;;1999-01-01;;Shooter,Indie;;;Sven Co-op Team;;;;sven coop
Windowgames_3301;Swamp Buggy Racing;PC;WizardWorks;2000-01-01;;Racing;;;Daylight Productions;;;;swamp buggy racing
Windowgames_3302;Swarm;PC;Reflexive Entertainment;1998-01-01;;Shooter;;;Reflexive Entertainment;;;;swarm
Windowgames_3303;SWAT 3: Close Quarters Battle;PC;Sierra Entertainment;1999-01-01;;Shooter,Simulator,Strategy,Tactical;;;Sierra Northwest;;;;swat 3 close quarters battle
Windowgames_3304;SWAT 4;PC;Vivendi Universal Games;2005-01-01;;Shooter,Simulator,Strategy,Tactical;;;Irrational Games;;;;swat 4
Windowgames_3305;Swing;PC;Software 2000;1997-01-01;;Indie,Visual Novel;;;Software 2000;;;;swing
Windowgames_3306;Switchball;PC;Sierra On-Line;2007-01-01;;Simulator,Indie;;;Atomic Elbow;;;;switchball
Windowgames_3307;Sword of the Stars;PC;Paradox Interactive,Lighthouse Interactive;2006-01-01;;Role-playing (RPG),Strategy,Tactical,Indie;;;Kerberos Productions;;;;sword of the stars
Windowgames_3308;Sword of the Stars: Born of Blood;PC;Paradox Interactive,Lighthouse Interactive;2007-01-01;;Strategy,Turn-based strategy (TBS),Tactical;;;Kerberos Productions;;;;sword of the stars born of blood
Windowgames_3309;Syberia;PC;Microids,1C Company,The Adventure Company,Typhoon Games;2002-01-01;;Adventure;;;Microids;;;;syberia
Windowgames_3310;Syberia II;PC;XS Games,LLC;2004-01-01;;Puzzle,Adventure;;;MC2-Microids;;;;syberia ii
Windowgames_3311;Syberia III;PC;Microids;2010-01-01;;Adventure;;;Microids;;;;syberia iii
Windowgames_3312;Sydney 2000;PC;Eidos Interactive;2000-01-01;;Sport;;;Attention to Detail;;;;sydney 2000
Windowgames_3313;Sydney Mystery, The;PC;Twilight Software;2003-01-01;;Adventure;;;Twilight Software;;;;sydney mystery the
Windowgames_3314;Symbiocom;PC;Bethesda Softworks;1998-01-01;;Puzzle,Adventure;;;Istvan Pely Productions;;;;symbiocom
Windowgames_3315;Synthesia;PC;;2008-01-01;;Music;;;Nicholas Piegdon;;;;synthesia
Windowgames_3316;System Shock: Enhanced Edition;PC;Night Dive Studios;2015-01-01;;Shooter,Role-playing (RPG),Adventure;;;Looking Glass Studios,Night Dive Studios;;;;system shock enhanced edition
