id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_61753;Shantae: Risky's Revenge; Wii U;;2010-10-04;;;;;;;Everyone 10+;Shantae
wikidata_id_61754;Thumper; PC;;2016-10-10;;;;;;;Everyone 10+;
wikidata_id_61756;Sakura-sō no Pet na Kanojo; PlayStation Vita;;2013-01-01;;;;;;;;
wikidata_id_61757;Caveman Warriors; PlayStation 4;;2017-09-22;;;;;;;Everyone 10+;
wikidata_id_61758;while True: learn(); Switch;;2019-01-17;;;;;;;Everyone;
wikidata_id_61761;Saints Row IV; Switch;;2013-08-19;;;;;;;Mature 17+;Saints Row
wikidata_id_61762;The Sun Never Sets; PC;;2017-06-06;;;;;;;;
wikidata_id_61763;Sniper Elite V2 Remastered; Xbox One;;2019-05-14;;;;;;;Mature 17+;Sniper Elite
wikidata_id_61764;Madden NFL 20; Xbox One;;2019-08-02;;;;;;;;Madden NFL
wikidata_id_61765;Air Conflicts: Pacific Carriers; Xbox 360;;2012-12-07;;;;;;;;Air Conflicts
wikidata_id_61766;Need for Speed Rivals; PlayStation 4;;2013-11-15;;;;;;;Everyone 10+;Need for Speed
wikidata_id_61767;Forced: Showdown; PC;;2016-03-29;;;;;;;;
wikidata_id_61768;Hellmut: The Badass from Hell; Switch;;2018-02-27;;;;;;;Teen;
wikidata_id_61769;Octopath Traveler; PC;;2018-07-13;;;;;;;Teen;
wikidata_id_61772;Event[0]; PC;;2016-09-14;;;;;;;;
wikidata_id_61773;Uncharted: Golden Abyss; PlayStation Vita;;2011-12-17;;;;;;;Teen;Uncharted
wikidata_id_61774;Just Dance 2017; PlayStation 3;;2016-10-27;;;;;;;;Just Dance
wikidata_id_61776;The Manhole; PC;;2010-08-07;;;;;;;;
wikidata_id_61777;Gujian Qitan; Xbox One;;2010-07-10;;;;;;;;
wikidata_id_61778;Battlerite; PC;;2016-09-20;;;;;;;;
wikidata_id_61779;Serious Sam 2; PC;;2012-01-31;;;;;;;Mature 17+;Serious Sam
wikidata_id_61780;DmC: Devil May Cry; Xbox 360;;2013-01-15;;;;;;;Mature 17+;Devil May Cry
wikidata_id_61781;Ride 3; PlayStation 4;;2018-11-30;;;;;;;Everyone;Ride
wikidata_id_61782;Styx: Shards of Darkness; PlayStation 4;;2017-01-01;;;;;;;Mature 17+;
wikidata_id_61785;Pokémon White; DS;;2010-09-18;;;;;;;Everyone;Pokémon core series
wikidata_id_61786;Leisure Suit Larry: Reloaded; PC;;2013-06-27;;;;;;;Mature 17+;Leisure Suit Larry
wikidata_id_61787;Cherry Tree High Comedy Club; PC;;2012-11-08;;;;;;;Teen;
wikidata_id_61789;Sakura Nova; PC;;2016-10-20;;;;;;;Mature 17+;
wikidata_id_61791;Puzzle Agent 2; PC;;2011-06-30;;;;;;;;
wikidata_id_61792;Tom Clancy's The Division 2; Xbox One;;2019-03-15;;;;;;;Mature 17+;
wikidata_id_61793;Seeds of Resilience; Switch;;2019-06-13;;;;;;;;
wikidata_id_61794;Pokémon TCG Online; PC;;2011-03-24;;;;;;;Everyone;
wikidata_id_61795;Reus; PlayStation 4;;2013-05-16;;;;;;;Everyone 10+;
wikidata_id_61796;Gear.Club Unlimited 2; Switch;;2018-12-02;;;;;;;Everyone;Gear.Club
wikidata_id_61797;Lumo; Xbox One;;2016-01-01;;;;;;;Everyone 10+;
wikidata_id_61800;MEMENTO; PC;;2016-07-07;;;;;;;;
wikidata_id_61801;Need for Speed Rivals; PlayStation 3;;2013-11-15;;;;;;;Everyone 10+;Need for Speed
wikidata_id_61802;Lego City Undercover; PC;;2013-03-18;;;;;;;Everyone;
wikidata_id_61803;Gemini: Heroes Reborn; PlayStation 4;;2016-01-18;;;;;;;Teen;
wikidata_id_61804;Darksiders Warmastered Edition; PlayStation 4;;2016-11-22;;;;;;;Mature 17+;Darksiders
wikidata_id_61808;Secret of Mana; PlayStation 4;;2018-02-15;;;;;;;;Mana
wikidata_id_61809;Akiba's Trip: Undead & Undressed; PlayStation 4;;2014-07-03;;;;;;;;Akiba's Trip
wikidata_id_61810;Fist of the North Star: Ken's Rage 2; Xbox 360;;2012-12-20;;;;;;;Mature 17+;Dynasty Warriors
wikidata_id_61811;Hidden Paws; PC;;2018-03-22;;;;;;;Everyone;
wikidata_id_61813;Upside-Down Dimensions; PlayStation Vita;;2017-08-09;;;;;;;;
wikidata_id_61814;Final Fantasy XIII; Xbox 360;;2010-03-09;;;;;;;Teen;Fabula Nova Crystallis Final Fantasy
wikidata_id_61816;Fist of Awesome; PC;;2013-10-15;;;;;;;;
wikidata_id_61818;Get Even; Xbox One;;2017-06-20;;;;;;;Mature 17+;
wikidata_id_61820;Ace Trolley Pilot; PC;;2019-01-01;;;;;;;;
wikidata_id_61822;Kane & Lynch 2: Dog Days; PC;;2010-08-17;;;;;;;Mature 17+;Kane & Lynch
wikidata_id_61823;Oil Rush; PlayStation 3;;2012-01-25;;;;;;;Teen;
wikidata_id_61824;Trauma; PC;;2011-08-08;;;;;;;;
wikidata_id_61826;Cursed Lands; PC;;2018-05-18;;;;;;;;
wikidata_id_61828;Triennale Game Collection; PC;;2016-01-01;;;;;;;;
wikidata_id_61831;Forgotten Memories: Alternate Realities; PC;;2015-01-01;;;;;;;;
wikidata_id_61833;Defy Gravity; PC;;2011-07-25;;;;;;;;
wikidata_id_61835;East Tower - Akio; PC;;2012-07-25;;;;;;;;East Tower
wikidata_id_61836;Mecho Wars: Desert Ashes; Switch;;2019-01-17;;;;;;;Everyone 10+;
wikidata_id_61837;Greg Hastings Paintball 2; PlayStation 3;;2010-09-21;;;;;;;Everyone 10+;Greg Hastings Paintball
wikidata_id_61838;Atlas Reactor; PC;;2016-10-04;;;;;;;;
wikidata_id_61841;Comic Jumper: The Adventures of Captain Smiley; Xbox 360;;2010-10-06;;;;;;;Teen;
wikidata_id_61843;Zaccaria Pinball; PlayStation 4;;2017-08-31;;;;;;;;
wikidata_id_61844;Dream Chamber; PC;;2013-10-24;;;;;;;;
wikidata_id_61845;Xenon Racer; Xbox One;;2019-03-26;;;;;;;Everyone;
wikidata_id_61846;VESTA; PlayStation 4;;2018-01-19;;;;;;;Everyone;
wikidata_id_61847;Double Spoiler; PC;;2010-03-14;;;;;;;;Touhou Project
wikidata_id_61849;Go All Out; PC;;2019-06-06;;;;;;;Teen;
wikidata_id_61850;Take On Mars; PC;;2013-08-01;;;;;;;;Take On
