id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
PS4_id_5903;Final Fantasy XV Multiplayer: Comrades;PlayStation 4;Square Enix;2018-12-13;;Action-RPG,Role Playing,Hack & Slash;;;Square Enix;;;;final fantasy xv multiplayer comrades
PS4_id_5904;Final Fantasy XV Multiplayer: Comrades (Asia);PlayStation 4;Square Enix;2018-12-13;;Action-RPG,Role Playing,Hack & Slash;;;Square Enix;;;;final fantasy xv multiplayer comrades asia
PS4_id_5905;Final Fantasy XV Multiplayer: Comrades (EU);PlayStation 4;Square Enix;2018-12-13;;Action-RPG,Role Playing,Hack & Slash;;;Square Enix;;;;final fantasy xv multiplayer comrades eu
PS4_id_5906;Final Fantasy XV Multiplayer: Comrades (JP);PlayStation 4;Square Enix;2018-12-13;;Action-RPG,Role Playing,Hack & Slash;;;Square Enix;;;;final fantasy xv multiplayer comrades jp
PS4_id_5907;Final Fantasy XV Pocket Edition HD;PlayStation 4;Square Enix;2018-09-06;;Action-RPG,Role Playing;;;Square Enix;;;;final fantasy xv pocket edition hd
PS4_id_5908;Final Horizon;PlayStation 4;Eiconic Games;2014-12-02;;Strategy,Tower Defence;;;Eiconic Games;;;;final horizon
PS4_id_5909;Finger on the Roof: Go! Rooftop Runner!;PlayStation 4;Otterrific Games;2020-06-11;;Platformer;;;Otterrific Games;;;;finger on the roof go rooftop runner
PS4_id_5910;Fire Commander (PS4);PlayStation 4;;;;;;;;;;;fire commander ps4
PS4_id_5911;Fire Pro Wrestling World;PlayStation 4;Spike Chunsoft;2018-08-09;;Sports,Wrestling;;;Spike Chunsoft;;;;fire pro wrestling world
PS4_id_5912;Fire Pro Wrestling World (EU);PlayStation 4;Ravenscourt;2018-09-28;;Sports,Wrestling;;;Spike Chunsoft;;;;fire pro wrestling world eu
PS4_id_5913;Firefighters - The Simulation;PlayStation 4;United Independent Entertainment;2017-01-24;;Simulation;;;VIS Games;;;;firefighters the simulation
PS4_id_5914;Firefighters: Airport Fire Department;PlayStation 4;United Independent Entertainment;2017-09-28;;Simulation;;;VIS Games;;;;firefighters airport fire department
PS4_id_5915;Firefighters: Airport Heroes;PlayStation 4;United Independent Entertainment;2020-06-24;;Simulation;;;Fair Play Labs;;;;firefighters airport heroes
PS4_id_5916;Firefighters: Airport Heroes (EU);PlayStation 4;United Independent Entertainment;2020-06-24;;Simulation;;;Fair Play Labs;;;;firefighters airport heroes eu
PS4_id_5917;Firefighters: Plant Fire Department;PlayStation 4;United Independent Entertainment;2017-11-30;;Simulation;;;UIG Entertainment;;;;firefighters plant fire department
PS4_id_5918;Firegirl: Hack ‘n Splash Rescue (PS4);PlayStation 4;;;;;;;;;;;firegirl hack n splash rescue ps4
PS4_id_5919;Firewall Zero Hour;PlayStation 4;Sony Interactive Entertainment;2018-08-28;;First Person Shooter;;;First Contact Entertainment;;;;firewall zero hour
PS4_id_5920;Firewatch;PlayStation 4;Panic;2016-02-09;;Adventure;;;Campo Santo;;;;firewatch
PS4_id_5921;Firewatch (EU);PlayStation 4;Panic;2016-02-09;;Adventure;;;Campo Santo;;;;firewatch eu
PS4_id_5922;First Class Trouble;PlayStation 4;Invisible Walls,Versus Evil;2021-11-02;;Party;;;Invisible Walls;;;;first class trouble
PS4_id_5923;Fishing Master;PlayStation 4;Snowball Games;2017-10-24;;Fishing,Sports;;;Snowball Games;;;;fishing master
PS4_id_5924;Fishing Planet;PlayStation 4;Fishing Planet;2017-08-29;;Fishing,Sports;;;Fishing Planet;;;;fishing planet
PS4_id_5925;Fishing Sim World: Bass Pro Shops Edition;PlayStation 4;Dovetail Games;2020-11-03;;Fishing,Sports;;;Dovetail Games;;;;fishing sim world bass pro shops edition
PS4_id_5926;Fishing Sim World: Pro Tour;PlayStation 4;Dovetail Games;2018-09-18;;Fishing,Sports;;;Dovetail Games;;;;fishing sim world pro tour
PS4_id_5927;Fishing: Barents Sea;PlayStation 4;astragon Entertainment;2019-12-13;;Fishing,Simulation,Sports,Management;;;Misc Games;;;;fishing barents sea
PS4_id_5928;Fishing: Barents Sea (EU);PlayStation 4;astragon Entertainment;2019-12-13;;Fishing,Simulation,Sports;;;Misc Games;;;;fishing barents sea eu
PS4_id_5929;Fishing: North Atlantic Enhanced Edition;PlayStation 4;Misc Games;2021-11-23;;Fishing,Sports;;;Misc Games;;;;fishing north atlantic enhanced edition
PS4_id_5930;Fist of the North Star: Lost Paradise;PlayStation 4;SEGA;2018-10-02;;Open World,Action-Adventure;;;SEGA,Ryu Ga Gotoku Studio;;;;fist of the north star lost paradise
PS4_id_5931;Fist of the North Star: Lost Paradise (Asia);PlayStation 4;SEGA;2018-03-08;;Open World,Action-Adventure;;;SEGA,Ryu Ga Gotoku Studio;;;;fist of the north star lost paradise asia
PS4_id_5932;Five Dates;PlayStation 4;Wales Interactive;2020-11-17;;Visual Novel;;;Good Gate Media;;;;five dates
PS4_id_5933;Five Nights at Freddy's;PlayStation 4;Clickteam;2019-11-29;;Action;;;Scottgames;;;;five nights at freddys
PS4_id_5934;Five Nights at Freddy's (EU);PlayStation 4;Clickteam;2020-02-04;;Action;;;Scottgames;;;;five nights at freddys eu
PS4_id_5935;Five Nights at Freddy's 2;PlayStation 4;Clickteam;2019-11-29;;Action;;;Scottgames;;;;five nights at freddys 2
PS4_id_5936;Five Nights at Freddy's 2 (EU);PlayStation 4;Clickteam;2020-02-04;;Action;;;Scottgames;;;;five nights at freddys 2 eu
PS4_id_5937;Five Nights at Freddy's 3;PlayStation 4;Clickteam;2019-11-29;;Action;;;Scottgames;;;;five nights at freddys 3
PS4_id_5938;Five Nights at Freddy's 3 (EU);PlayStation 4;Clickteam;2020-02-04;;Action;;;Scottgames;;;;five nights at freddys 3 eu
PS4_id_5939;Five Nights at Freddy's 4;PlayStation 4;Clickteam;2019-11-29;;Action;;;Scottgames;;;;five nights at freddys 4
PS4_id_5940;Five Nights at Freddy's 4 (EU);PlayStation 4;Clickteam;2020-02-04;;Action;;;Scottgames;;;;five nights at freddys 4 eu
PS4_id_5941;Five Nights At Freddy's VR: Help Wanted;PlayStation 4;Lionsgate Games;2019-05-28;;Visual Novel;;;Steel Wool Games;;;;five nights at freddys vr help wanted
PS4_id_5942;Five Nights at Freddy's: Security Breach (PS4);PlayStation 4;;;;;;;;;;;five nights at freddys security breach ps4
PS4_id_5943;Five Nights at Freddy's: Sister Location;PlayStation 4;Clickteam;2020-07-22;;Action;;;Scottgames;;;;five nights at freddys sister location
PS4_id_5944;Five Nights at Freddy's: Sister Location (EU);PlayStation 4;Clickteam;2020-07-21;;Action;;;Scottgames;;;;five nights at freddys sister location eu
PS4_id_5945;Flame Over;PlayStation 4;Laughing Jackal;2015-09-15;;Action;;;Laughing Jackal;;;;flame over
PS4_id_5946;Flashback;PlayStation 4;Anuman Interactive;2018-11-20;;Platformer;;;Microids;;;;flashback
PS4_id_5947;Flat Heroes;PlayStation 4;Parallel Circles;2020-01-14;;Platformer;;;Parallel Circles;;;;flat heroes
PS4_id_5948;Flatland Vol. 1;PlayStation 4;QUByte Interactive;2020-11-17;;Platformer;;;Minimol Games,kyuu Fujisaki;;;;flatland vol 1
PS4_id_5949;Flatland Vol. 2;PlayStation 4;QUByte Interactive;2021-06-29;;Platformer;;;Minimol Games;;;;flatland vol 2
PS4_id_5950;Flatland Vol. 2 (EU);PlayStation 4;QUByte Interactive;2021-07-03;;Platformer;;;Minimol Games;;;;flatland vol 2 eu
PS4_id_5951;Flatland: Prologue;PlayStation 4;QUByte Interactive;2021-01-28;;Platformer;;;Minimol Games;;;;flatland prologue
PS4_id_5952;FlatOut 4: Total Insanity;PlayStation 4;Nacon;2017-05-05;;Automobile,Arcade Racing;;;KT Racing;;;;flatout 4 total insanity
PS4_id_5953;Flavouride;PlayStation 4;Xitilon;2021-08-20;;Platformer;;;HealliesGames;;;;flavouride
PS4_id_5954;Flight of Light;PlayStation 4;Crystalline Green;2018-04-05;;Action;;;Crystalline Green;;;;flight of light
PS4_id_5955;Flinthook;PlayStation 4;Tribute Games;2017-04-18;;Roguelite,Platformer;;;Tribute Games;;;;flinthook
PS4_id_5956;Flipping Death;PlayStation 4;Zoink!;2018-08-07;;Action-Adventure;;;Zoink!;;;;flipping death
PS4_id_5957;Flipping Death (EU);PlayStation 4;Zoink!;2018-08-07;;Action-Adventure;;;Zoink!;;;;flipping death eu
PS4_id_5958;Flipy's Tesla;PlayStation 4;Mediaproduccion;2018-02-26;;Adventure;;;Mediaproduccion;;;;flipys tesla
PS4_id_5959;Flipy's Tesla (EU);PlayStation 4;Mediaproduccion;2018-02-15;;Adventure;;;Mediaproduccion;;;;flipys tesla eu
PS4_id_5960;Flockers;PlayStation 4;Team17 Software;2014-09-23;;Puzzle;;;Team17 Software;;;;flockers
PS4_id_5961;Floor Kids;PlayStation 4;MERJ Media;2018-11-27;;Dance,Music;;;MERJ Media;;;;floor kids
PS4_id_5962;Floor Plan;PlayStation 4;Turbo Button;2018-03-20;;Puzzle,Adventure;;;Turbo Button;;;;floor plan
PS4_id_5963;Floral Flowlove;PlayStation 4;Entergram;2018-08-23;;Visual Novel;;;Saga Planets;;;;floral flowlove
PS4_id_5964;flOw;PlayStation 4;Sony Interactive Entertainment;2013-12-17;;Puzzle;;;Thatgamecompany;;;;flow
PS4_id_5965;Flower;PlayStation 4;Sony Computer Entertainment;2013-11-15;;Puzzle;;;Thatgamecompany,Bluepoint Games;;;;flower
