id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_34531;Backyard Basketball 2004;PC;;2003-01-01;;;;;;;Everyone;
wikidata_id_34532;Ninja Assault;PS2;;2002-09-12;;;;;;;Teen;
wikidata_id_34533;L the Prologue to Death Note -Spiraling Trap-;DS;;2002-01-01;;;;;;;;
wikidata_id_34534;Downtown Run;GC;;2003-03-28;;;;;;;Everyone;
wikidata_id_34535;The Bee Game;GBA;;2007-10-15;;;;;;;;
wikidata_id_34537;James Pond 2: Codename: RoboCod;NSW;;2009-07-02;;;;;;;Everyone;James Pond
wikidata_id_34538;Need for Speed: Most Wanted;PS3;;2005-11-11;;;;;;;Teen;Need for Speed
wikidata_id_34539;Chōsōjū Mecha MG;DS;;2006-09-02;;;;;;;;
wikidata_id_34540;Pixeline: Kong Gulerod;PC;;2002-01-01;;;;;;;;Pixeline
wikidata_id_34541;ECW Anarchy Rulz;DC;;2000-08-18;;;;;;;Teen;
wikidata_id_34543;Falcon's Eye;PC;;2000-10-16;;;;;;;;
wikidata_id_34544;Air Traffic Controller;PS;;2001-01-01;;;;;;;;
wikidata_id_34545;Mafia;PC;;2002-08-28;;;;;;;Mature 17+;Mafia
wikidata_id_34546;NBA 06;PS2;;2005-10-04;;;;;;;;NBA
wikidata_id_34547;SSX On Tour;X;;2005-10-11;;;;;;;Everyone 10+;
wikidata_id_34548;WWE Survivor Series;GBA;;2004-10-12;;;;;;;Teen;
wikidata_id_34549;"Steins;Gate";PS3;;2009-10-15;;;;;;;;Science Adventure Series
wikidata_id_34550;Cake Mania;PC;;2006-09-15;;;;;;;;Cake Mania
wikidata_id_34551;SSX On Tour;PSP;;2005-10-11;;;;;;;Everyone 10+;
wikidata_id_34552;Brütal Legend;X360;;2009-10-13;;;;;;;Mature 17+;
wikidata_id_34553;NCAA Football 2003;PS2;;2002-01-01;;;;;;;;
wikidata_id_34554;Backyard Basketball 2004;GBA;;2003-01-01;;;;;;;Everyone;
