"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity","[1] GameDateComparator3Years record1Value","[1] GameDateComparator3Years record2Value","[1] GameDateComparator3Years record1PreprocessedValue","[1] GameDateComparator3Years record2PreprocessedValue","[1] GameDateComparator3Years similarity","[1] GameDateComparator3Years postproccesedSimilarity"
"LinearCombinationMatchingRule","all_games12985","Windowgames_408","0.058333333333333355",,"Moto Racer 3","Breakout","Moto Racer 3","Breakout","0.08333333333333337","0.08333333333333337","2002-01-31T00:00","2000-01-01T00:00","2002-01-31T00:00","2000-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games8763","Windowgames_2671","0.14583333333333334",,"Dave Mirra Freestyle BMX","Queen: The eYe","Dave Mirra Freestyle BMX","Queen: The eYe","0.20833333333333337","0.20833333333333337","2000-12-15T00:00","1998-01-01T00:00","2000-12-15T00:00","1998-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games12985","Windowgames_402","0.41666666666666663",,"Moto Racer 3","Bratz","Moto Racer 3","Bratz","0.16666666666666663","0.16666666666666663","2002-01-31T00:00","2002-01-01T00:00","2002-01-31T00:00","2002-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games14515","Windowgames_3731","0.37",,"Outcry","WorldShift","Outcry","WorldShift","0.09999999999999998","0.09999999999999998","2008-08-28T00:00","2008-01-01T00:00","2008-08-28T00:00","2008-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games411","Windowgames_2370","0.4458333333333333",,"World of Goo","Night of the Raving Dead","World of Goo","Night of the Raving Dead","0.20833333333333337","0.20833333333333337","2008-10-12T00:00","2008-01-01T00:00","2008-10-12T00:00","2008-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games8763","Windowgames_2676","0.0875",,"Dave Mirra Freestyle BMX","The Quivering","Dave Mirra Freestyle BMX","The Quivering","0.125","0.125","2000-12-15T00:00","1998-01-01T00:00","2000-12-15T00:00","1998-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games14515","Windowgames_3733","0.07368421052631578",,"Outcry","Worms 2: Armageddon","Outcry","Worms 2: Armageddon","0.10526315789473684","0.10526315789473684","2008-08-28T00:00","2009-01-01T00:00","2008-08-28T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games8763","Windowgames_2673","0.11666666666666663",,"Dave Mirra Freestyle BMX","Quest for Glory V: Dragon Fire","Dave Mirra Freestyle BMX","Quest for Glory V: Dragon Fire","0.16666666666666663","0.16666666666666663","2000-12-15T00:00","1998-01-01T00:00","2000-12-15T00:00","1998-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games411","Windowgames_2375","0.4484848484848485",,"World of Goo","Nikopol: Secrets of the Immortals","World of Goo","Nikopol: Secrets of the Immortals","0.21212121212121215","0.21212121212121215","2008-10-12T00:00","2008-01-01T00:00","2008-10-12T00:00","2008-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games12938","Windowgames_1211","0.07179487179487176",,"Majestic","The Fairly OddParents: Breakin Da Rules","Majestic","The Fairly OddParents: Breakin Da Rules","0.10256410256410253","0.10256410256410253","2001-07-31T00:00","2003-01-01T00:00","2001-07-31T00:00","2003-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games411","Windowgames_2376","0.35833333333333334",,"World of Goo","Ninja Reflex","World of Goo","Ninja Reflex","0.08333333333333337","0.08333333333333337","2008-10-12T00:00","2008-01-01T00:00","2008-10-12T00:00","2008-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games14164","Windowgames_3385","0.11914893617021277",,"Lemony Snicket's A Series of Unfortunate Events","Tiger Woods PGA Tour 06","Lemony Snicket's A Series of Unfortunate Events","Tiger Woods PGA Tour 06","0.17021276595744683","0.17021276595744683","2004-11-10T00:00","2005-01-01T00:00","2004-11-10T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games14164","Windowgames_3384","0.41914893617021276",,"Lemony Snicket's A Series of Unfortunate Events","Tiger Woods PGA Tour 2005","Lemony Snicket's A Series of Unfortunate Events","Tiger Woods PGA Tour 2005","0.17021276595744683","0.17021276595744683","2004-11-10T00:00","2004-01-01T00:00","2004-11-10T00:00","2004-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games14269","Windowgames_2018","0.07142857142857142",,"Eufloria","Magic: The Gathering – Duels of the Planeswalkers","Eufloria","Magic: The Gathering – Duels of the Planeswalkers","0.10204081632653061","0.10204081632653061","2008-11-04T00:00","2009-01-01T00:00","2008-11-04T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games16312","Windowgames_1653","0.18064516129032257",,"The Lord of the Rings: Conquest","Hour of Victory","The Lord of the Rings: Conquest","Hour of Victory","0.25806451612903225","0.25806451612903225","2009-01-13T00:00","2007-01-01T00:00","2009-01-13T00:00","2007-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games12709","Windowgames_2459","0.12250000000000003",,"Harry Potter and the Prisoner of Azkaban","Pac-Man World 2","Harry Potter and the Prisoner of Azkaban","Pac-Man World 2","0.17500000000000004","0.17500000000000004","2004-05-25T00:00","2002-01-01T00:00","2004-05-25T00:00","2002-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games16449","Windowgames_1785","0.13461538461538458",,"DreamWorks Shrek SuperSlam","JFK: Reloaded","DreamWorks Shrek SuperSlam","JFK: Reloaded","0.1923076923076923","0.1923076923076923","2005-10-25T00:00","2004-01-01T00:00","2005-10-25T00:00","2004-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games16449","Windowgames_1784","0.18846153846153849",,"DreamWorks Shrek SuperSlam","Jewel Quest","DreamWorks Shrek SuperSlam","Jewel Quest","0.2692307692307693","0.2692307692307693","2005-10-25T00:00","2004-01-01T00:00","2005-10-25T00:00","2004-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games16449","Windowgames_1783","0.1076923076923077",,"DreamWorks Shrek SuperSlam","JetsnGuns","DreamWorks Shrek SuperSlam","JetsnGuns","0.15384615384615385","0.15384615384615385","2005-10-25T00:00","2004-01-01T00:00","2005-10-25T00:00","2004-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games17000","Windowgames_72","0.16896551724137931",,"Yu-Gi-Oh! The Dawn of Destiny","Age of Wanderers","Yu-Gi-Oh! The Dawn of Destiny","Age of Wanderers","0.24137931034482762","0.24137931034482762","2004-03-23T00:00","2003-01-01T00:00","2004-03-23T00:00","2003-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games9838","Windowgames_15","0.36666666666666664",,"Vampyr","428: Shibuya Scramble","Vampyr","428: Shibuya Scramble","0.09523809523809523","0.09523809523809523","2018-06-04T00:00","2018-01-01T00:00","2018-06-04T00:00","2018-01-01T00:00","1.0","1.0"
